class,metrics,mean,sd
0,f1-score,0.9709100834207,0.007503403790000475
0,precision,0.9742313947436898,0.008452374374695685
0,recall,0.9677931387608807,0.01619331463061502
1,f1-score,0.9206853900133519,0.02748505515729062
1,precision,0.9116550239148415,0.04193828940797104
1,recall,0.9306051587301587,0.021055364471219067
2,f1-score,0.9793948905153048,0.009183840931957314
2,precision,0.9817039165100383,0.0108128753460783
2,recall,0.9771623376623376,0.011440823199691117
error,f1-score,0.9738118685487107,0.01861703883348624
error,precision,0.98,0.02738612787525833
error,recall,0.9694736842105264,0.045029999234120904
macro avg,f1-score,0.9612005581245169,0.013595789895754294
macro avg,precision,0.9618975837921425,0.010283388304351817
macro avg,recall,0.9612585798409757,0.016919843029336253
weighted avg,f1-score,0.9657853457137182,0.012058356015160305
weighted avg,precision,0.966315786680002,0.011428172250940437
weighted avg,recall,0.965625,0.012303137303143447
